state_abbr,state,fips,county,lat,lon
AK,Alaska,02275,Wrangell City and Borough,56.180779,-132.026788
AK,Alaska,02282,Yakutat City and Borough,60.017508,-140.416847
AK,Alaska,02290,Yukon-Koyukuk Census Area,65.375727,-151.57785
AZ,Arizona,04001,Apache County,35.385084,-109.490172
AZ,Arizona,04003,Cochise County,31.840129,-109.775163
AZ,Arizona,04005,Coconino County,35.829692,-111.773728
AZ,Arizona,04007,Gila County,33.789618,-110.81187
AZ,Arizona,04009,Graham County,32.931828,-109.87831
AZ,Arizona,04011,Greenlee County,33.238872,-109.242323
AZ,Arizona,04012,La Paz County,33.72761,-114.038806
AZ,Arizona,04013,Maricopa County,33.345176,-112.49893
AZ,Arizona,04015,Mohave County,35.717705,-113.749689
AZ,Arizona,04017,Navajo County,35.390785,-110.321025
AZ,Arizona,04019,Pima County,32.128038,-111.783657
AZ,Arizona,04021,Pinal County,32.918521,-111.366339
AZ,Arizona,04023,Santa Cruz County,31.525733,-110.845228
AZ,Arizona,04025,Yavapai County,34.631071,-112.577225
AZ,Arizona,04027,Yuma County,32.773942,-113.910905
AR,Arkansas,05001,Arkansas County,34.28957,-91.376547
AR,Arkansas,05003,Ashley County,33.190835,-91.772267
AR,Arkansas,05005,Baxter County,36.280268,-92.329949
AR,Arkansas,05007,Benton County,36.337819,-94.256298
AR,Arkansas,05009,Boone County,36.304299,-93.079236
AR,Arkansas,05011,Bradley County,33.466549,-92.169156
AR,Arkansas,05013,Calhoun County,33.56046,-92.513879
AR,Arkansas,05015,Carroll County,36.33737,-93.540972
AR,Arkansas,05017,Chicot County,33.267139,-91.297158
AR,Arkansas,05019,Clark County,34.053316,-93.176208
AR,Arkansas,05021,Clay County,36.367302,-90.418704
AR,Arkansas,05023,Cleburne County,35.593628,-92.008898
AR,Arkansas,05025,Cleveland County,33.893201,-92.188714
AR,Arkansas,05027,Columbia County,33.223038,-93.232843
AR,Arkansas,05029,Conway County,35.26569,-92.689249
AR,Arkansas,05031,Craighead County,35.827729,-90.631421
AR,Arkansas,05033,Crawford County,35.582959,-94.236193
AR,Arkansas,05035,Crittenden County,35.197559,-90.30512
AR,Arkansas,05037,Cross County,35.285692,-90.763984
AR,Arkansas,05039,Dallas County,33.967823,-92.653999
AR,Arkansas,05041,Desha County,33.828752,-91.244103
AR,Arkansas,05043,Drew County,33.587242,-91.722778
AR,Arkansas,05045,Faulkner County,35.146548,-92.336928
AR,Arkansas,05047,Franklin County,35.508558,-93.887665
AR,Arkansas,05049,Fulton County,36.381322,-91.819285
AR,Arkansas,05051,Garland County,34.578852,-93.146932
AR,Arkansas,05053,Grant County,34.285568,-92.422979
AR,Arkansas,05055,Greene County,36.120607,-90.566346
AR,Arkansas,05057,Hempstead County,33.735953,-93.664355
AR,Arkansas,05059,Hot Spring County,34.315177,-92.944147
AR,Arkansas,05061,Howard County,34.083064,-93.990931
AR,Arkansas,05063,Independence County,35.737499,-91.559942
AR,Arkansas,05065,Izard County,36.094879,-91.913625
AR,Arkansas,05067,Jackson County,35.596467,-91.223205
AR,Arkansas,05069,Jefferson County,34.277239,-91.929673
AR,Arkansas,05071,Johnson County,35.573359,-93.466322
AR,Arkansas,05073,Lafayette County,33.240629,-93.611514
AR,Arkansas,05075,Lawrence County,36.041098,-91.101153
AR,Arkansas,05077,Lee County,34.779505,-90.779717
AR,Arkansas,05079,Lincoln County,33.956385,-91.742355
AR,Arkansas,05081,Little River County,33.701941,-94.236287
AR,Arkansas,05083,Logan County,35.218654,-93.72091
AR,Arkansas,05085,Lonoke County,34.755114,-91.894132
AR,Arkansas,05087,Madison County,36.012545,-93.724053
AR,Arkansas,05089,Marion County,36.266664,-92.678577
AR,Arkansas,05091,Miller County,33.305505,-93.901502
AR,Arkansas,05093,Mississippi County,35.766944,-90.052207
AR,Arkansas,05095,Monroe County,34.679512,-91.20331
AR,Arkansas,05097,Montgomery County,34.545656,-93.664153
AR,Arkansas,05099,Nevada County,33.666699,-93.305072
AR,Arkansas,05101,Newton County,35.910742,-93.215898
AR,Arkansas,05103,Ouachita County,33.591168,-92.878413
AR,Arkansas,05105,Perry County,34.946363,-92.926877
AR,Arkansas,05107,Phillips County,34.423687,-90.855593
AR,Arkansas,05109,Pike County,34.158191,-93.658659
AR,Arkansas,05111,Poinsett County,35.56887,-90.681104
AR,Arkansas,05113,Polk County,34.49096,-94.230894
AR,Arkansas,05115,Pope County,35.456557,-93.026818
AR,Arkansas,05117,Prairie County,34.831116,-91.55362
AR,Arkansas,05119,Pulaski County,34.770311,-92.312996
AR,Arkansas,05121,Randolph County,36.341298,-91.028441
AR,Arkansas,05123,St. Francis County,35.022838,-90.751506
AR,Arkansas,05125,Saline County,34.648525,-92.674463
AR,Arkansas,05127,Scott County,34.858869,-94.063641
AR,Arkansas,05129,Searcy County,35.896387,-92.695888
AR,Arkansas,05131,Sebastian County,35.196981,-94.274989
AR,Arkansas,05133,Sevier County,33.994877,-94.243279
AR,Arkansas,05135,Sharp County,36.173399,-91.471069
AR,Arkansas,05137,Stone County,35.857001,-92.140482
AR,Arkansas,05139,Union County,33.168219,-92.598145
AR,Arkansas,05141,Van Buren County,35.582953,-92.515976
AR,Arkansas,05143,Washington County,35.978001,-94.217269
AR,Arkansas,05145,White County,35.255118,-91.753034
AR,Arkansas,05147,Woodruff County,35.192777,-91.244535
AR,Arkansas,05149,Yell County,34.997713,-93.408303
CA,California,06001,Alameda County,37.647139,-121.912488
CA,California,06003,Alpine County,38.621783,-119.798352
CA,California,06005,Amador County,38.443549,-120.653858
